SIM Count,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Colour Name,Condition,Model Number,Model Name,Title,Price,Brand,Rating,Product Image,Product Link,Expandable Memory Type,Secondary Camera Resolution,Charging Type,Processor Speed,Secondary Camera,Product Weight,Display Type,Display Resolution Type,Operating System,Operating System Number,Processor Number,Fast Charging,What's In The Box,Network Frequency Band,Number of Cores,Glass Technology,Primary Camera Feature,Flash,Video Recording Resolution Type,Water/Dust Properties,Finish,Model Year,Network Type,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Primary Camera (MP),Voice Calling Capability,Processor Name,Sensor,Display Resolution,Refresh Rates,Operating System Version,Audio Jack,Camera Type,Battery Type,Pixels Per Inch,Network,Wireless
Dual SIM,8 GB,5000 mAh,256 GB,International Version,6.74 in,Nano SIM,Glacier White,New,2311DRN14I | 23106RN0DA| 22120RN86C,Redmi 13C,Redmi 13C Dual SIM Glacier White 8GB RAM 256GB 4G - Global Version,EGP 6872.30 Inclusive of VAT,Xiaomi,3.7,"['https://f.nooncdn.com/p/pnsku/N70017106V/45/_/1698139765/c0b08129-d722-4993-990b-ddc1e884c674.jpg', 'https://f.nooncdn.com/p/pnsku/N70017104V/45/_/1698139799/3bf00498-b0f0-4da3-ac87-eb9085843f13.jpg', 'https://f.nooncdn.com/p/pnsku/N70017105V/45/_/1698139779/511e2a92-6698-44b6-bc95-fbd1077638e0.jpg', 'https://f.nooncdn.com/p/pnsku/N70017107V/45/_/1698139767/f60e0475-791e-4208-a4cb-7b0f36d687ff.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-glacier-white-8gb-ram-256gb-4g-global-version/N70017104V/p/?o=d1d25bb660c8761c,MicroSD,8 MP,Type-C,2 GHz,8 - 11.9 MP,192 g,LCD,,Android,13,MediaTek Helio G85,Yes,,LTE,Octa Core,Gorilla Glass,Triple,LED,,,Plastic,2023,4G,168 mm,8.09 mm,78 mm,16 GB,50+8+QVGA,Yes,MediaTek Helio,,,90Hz,,,,,,,
Dual SIM,8 GB,4676 mAh,512 GB,Middle East Version,6.9 in,Nano + eSIM,Desert Titanium,New,"MYWN3AE/A , MYWN3AH/A",iPhone 16 Pro Max,iPhone 16 Pro Max 512GB Desert Titanium 5G With FaceTime - Middle East Version,EGP 94998.95 Inclusive of VAT,Apple,4.8,"['https://f.nooncdn.com/p/pnsku/N70105586V/45/_/1726043641/5517ebaf-2ccb-4e11-bbaa-79b4ca734916.jpg', 'https://f.nooncdn.com/p/pnsku/N70105587V/45/_/1726043597/12e5b3eb-fe56-41ef-862a-65077b6c5003.jpg', 'https://f.nooncdn.com/p/pnsku/N70105585V/45/_/1726043630/5025f2b4-ed8f-4034-b000-59522a93b299.jpg', 'https://f.nooncdn.com/p/pnsku/N70105589V/45/_/1725963909/0ba57abe-5fdf-45ff-a393-641c3b11f27c.jpg']",https://www.noon.com/egypt-en/iphone-16-pro-max-512gb-desert-titanium-5g-with-facetime-middle-east-version/N70105587V/p/?o=ed1fa7355ce2edef,No Expandable Memory,12 MP,Type-C,,12 - 15.9 MP,227 g,OLED,,iOS,,A18 Pro,Yes,,,Hexa Core,,Triple,Dual Tone flash,,,,2024,5G,77.6 mm,163 mm,8.3 mm,,48+48+12,Yes,,,,120Hz,iOS 18,,,,,,
Dual SIM,4 MB,1000 mAh,32 MB,International Version,1.77 in,SIM (Standard),Black,,"it2160 Black, it2160E",,2160 Dual SIM Black 32MB 2G,EGP 484.00 Inclusive of VAT,ITEL,4,[],https://www.noon.com/egypt-en/2160-dual-sim-black-32mb-2g/N24420265A/p/?o=d9d37cf8601e01ea,MicroSD,,Micro USB,,,,,,,,,,,GSM,,,Single,,,,,,,48.7 mm,113 mm,14.3 mm,32 GB,,,,,128x160,,,,Primary Camera,Lithium Ion,,2G,
,,4000 mAh,32 GB,,2.8 in,,Black,,D1000,D1000,"D1000 Rugged Phone, Dual Sim, with 4,000 mAh Battery - used as Power Bank 3A - Black/Green",EGP 1220.00 Inclusive of VAT,DARAGO,3.4,[],https://www.noon.com/egypt-en/d1000-rugged-phone-dual-sim-with-4-000-mah-battery-used-as-power-bank-3a-black-green/ZBC1F18797DF996B2B218Z/p/?o=zbc1f18797df996b2b218z-1,,,,,,,,,,,1,,,,Single Core,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,8 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,Field Green,New,A665L,A70,A70 Dual SIM  Field Green (3+5)GB RAM 128GB 4G - Middle East Version,EGP 3740.00 Inclusive of VAT,ITEL,4.5,[],https://www.noon.com/egypt-en/a70-dual-sim-field-green-3-5-gb-ram-128gb-4g-middle-east-version/N70100279V/p/?o=a8dc296a738c577c,,,Type-C,,,,,,,,,,,LTE,,,,,,,,,4G,,,,,,Yes,,,,,,,,,,,
Dual SIM,4 MB,1000 mAh,32 MB,International Version,1.77 in,SIM (Standard),Dark Blue,,"it2160, it2160E",,iT2160 Dual SIM Dark Blue 32MB 2G,EGP 570.00 Inclusive of VAT,ITEL,4.1,[],https://www.noon.com/egypt-en/it2160-dual-sim-dark-blue-32mb-2g/N24420266A/p/?o=fa652a7d824806fd,MicroSD,,Micro USB,,,,,,,,,,,GSM,,,Single,,,,,,,,,14.3 mm,32 GB,,,,,128x160,,,,Primary Camera,Lithium Ion,,2G,
Dual SIM,2 GB,5000 mAh,16 GB,,6 in,,Gray,New,,,"A7 Plus Dual SIM Mobile, 16 GB Internal Memory, 2GB RAM, 3G Network - Iron Gray",EGP 2099.00 Inclusive of VAT,IKU,,"['https://f.nooncdn.com/p/pzsku/Z43121C5C2BE3E1B22531Z/45/_/1725270139/53e956f7-b815-4978-9c8c-570c6bd4ff79.jpg', 'https://f.nooncdn.com/p/pzsku/Z6A38883347C3D29FB9CAZ/45/_/1725363052/f67a1ae4-f74f-4d52-8756-02268402c3e9.jpg', 'https://f.nooncdn.com/p/pzsku/Z2E1E30CE0213D3B89F78Z/45/_/1725361946/c42f03fd-721f-4546-a31a-51839539efe0.jpg']",https://www.noon.com/egypt-en/a7-plus-dual-sim-mobile-16-gb-internal-memory-2gb-ram-3g-network-iron-gray/Z6A38883347C3D29FB9CAZ/p/?o=z6a38883347c3d29fb9caz-1,,5 MP,,,5 - 7.9 MP,,LCD,HD+,Android,,,,,GSM/HSPA,Quad Core,,Single,Yes,,,,,3G,,,,,8,,Quad-Core,fingerprint,720x1600,,Android 12,3.5 mm,,,,,3G/Wireless/Bluetooth
Dual SIM,8 GB,5000 mAh,8 GB,Middle East Version,6.6 in,Nano SIM,Awesome Lemon,New,SM-A356EZYVMEA,SM-A356EZYVMEA,Galaxy A35 Dual SIM Awesome Lemon 8GB RAM 256GB 5G - Middle East Version,EGP 14449.00 Inclusive of VAT,Samsung,4.7,"['https://f.nooncdn.com/p/pnsku/N70049810V/45/_/1715173536/8d42d30d-dd7d-4af5-b29b-cf2ef906bba8.jpg', 'https://f.nooncdn.com/p/pnsku/N70049908V/45/_/1709736886/62518835-ee29-4eda-afc7-5b0c8151cdf4.jpg', 'https://f.nooncdn.com/p/pnsku/N70049911V/45/_/1709736902/40368dc2-ce51-48ca-89a4-cd6944cdf937.jpg', 'https://f.nooncdn.com/p/pnsku/N70049824V/45/_/1709736882/29e18071-5de5-4fb4-830d-7421ba528532.jpg']",https://www.noon.com/egypt-en/galaxy-a35-dual-sim-awesome-lemon-8gb-ram-256gb-5g-middle-east-version/N70049908V/p/?o=fb5772edbe1e14de,MicroSD,13 MP,Type-C,,12 - 15.9 MP,,,,Android,,,,,,,,,,,,,2023,5G,,,,,50+8+2,,,,2340x1080,120Hz,,,,,,,
Dual SIM,6 GB,4912 mAh,128 GB,International Version,6.7 in,Nano + eSIM,Black,New,iPhone 15 Plus,iPhone 15 Plus,iPhone 15 Plus 128GB Black 5G With FaceTime - International Version,EGP 43499.00 Inclusive of VAT,Apple,4.5,"['https://f.nooncdn.com/p/pnsku/N53432593A/45/_/1694762140/525f77ac-634b-4f10-b6a2-0ad9ad8c67b0.jpg', 'https://f.nooncdn.com/p/pnsku/N53432662A/45/_/1694762173/6092f45c-07a4-4576-8a29-872dc6cfcc41.jpg', 'https://f.nooncdn.com/p/pnsku/N53432550A/45/_/1694762153/c31a3e12-c0aa-4281-911b-433d198ad0e6.jpg', 'https://f.nooncdn.com/p/pnsku/N53433271A/45/_/1694762189/11be0148-22e6-4ac2-8c91-db5105e2e23a.jpg', 'https://f.nooncdn.com/p/pnsku/N53432695A/45/_/1694762138/0cde4ccc-3549-4262-b23f-cb892db981c0.jpg']",https://www.noon.com/egypt-en/iphone-15-plus-128gb-black-5g-with-facetime-international-version/N53432593A/p/?o=a99316c4c26fa8cf,,,Type-C,,,,Dynamic AMOLED,,iOS,17,A16,Yes,,,Octa Core,,Dual,LED,,,,2023,5G,,,,,,Yes,Apple Bionic,,,60Hz,,,,,,,
Dual SIM,1 GB,2400 mAh,32 GB,,5.45 in,Nano SIM,Gold,,A6,A6,"IKU A6 2022, 32GB ROM, 1GB RAM, 2400mAh, 3G Network - Gold",EGP 1808.00 Inclusive of VAT,IKU,3.3,"['https://f.nooncdn.com/p/pzsku/Z6FBA283C903C8A77902BZ/45/_/1689511689/8cf64e01-bf85-45e3-aee1-2c982a37e11c.jpg', 'https://f.nooncdn.com/p/pzsku/Z9A79B8A5C0400C320B61Z/45/_/1689511669/e7faf6ad-b9a0-4be7-9eaa-b350439560a6.jpg', 'https://f.nooncdn.com/p/pzsku/Z10055E5F184A6095A00DZ/45/_/1689511689/2e1efa70-d503-4642-a5fb-e0d889a5e081.jpg', 'https://f.nooncdn.com/p/pzsku/Z9A204E38359D7ECBD7B6Z/45/_/1689516924/b9c59ff0-d0e6-4610-ab9c-2b787881269a.jpg']",https://www.noon.com/egypt-en/iku-a6-2022-32gb-rom-1gb-ram-2400mah-3g-network-gold/Z10055E5F184A6095A00DZ/p/?o=z10055e5f184a6095a00dz-1,MicroSD,2 MP,Micro USB,,Upto 4.9 MP,,LCD,HD,Android,9,,,,GSM/HSPA,,,,Yes,,,,,,,,,,5,,,,720x1600,,Android 9(Pie),3.5 mm,,,,,3G/Wireless/Bluetooth
Dual SIM,12 GB,5000 mAh,512 GB,International Version,6.67 in,Nano SIM,Navigator Beige,New,RMX3867,realme 12+ 5G,12+ 5G Dual SIM Navigator Beige 12GB RAM 512GB - International Version,EGP 15250.00 Inclusive of VAT,realme,4.6,"['https://f.nooncdn.com/p/pnsku/N70059181V/45/_/1711695652/3f3d4b9f-227c-4263-9dd0-a792c8ff25dc.jpg', 'https://f.nooncdn.com/p/pnsku/N70059180V/45/_/1711695650/7e5d05ff-d0ac-4953-8e21-915aa3feb4ec.jpg']",https://www.noon.com/egypt-en/12-5g-dual-sim-navigator-beige-12gb-ram-512gb-international-version/N70059181V/p/?o=e29d63205506938a,,16 MP,Type-C,,16 - 31.9 MP,190 g,AMOLED,,Android,Realme UI 5.0,7050,Yes,"Handset,Adapter,USB cable,Quick guide,Warranty card",GSM/LTE/UMTS,Octa Core,,Triple,,,,,2024,5G,163 mm,7.9 mm,75.5 mm,,50+8+2M,Yes,MediaTek Dimensity,"Accelerometer, gyroscope, Proximity Sensors",1080x2400,120Hz,Android 14,,,,,,
Dual SIM,8 GB,4676 mAh,256 GB,International Version,6.9 in,Nano + eSIM,Natural Titanium,New,iPhone 16 Pro Max,iPhone 16 Pro Max,iPhone 16 Pro Max 256GB Natural Titanium 5G With FaceTime - International Version,EGP 74999.00 Inclusive of VAT,Apple,4.5,"['https://f.nooncdn.com/p/pnsku/N70106062V/45/_/1726043625/0b07a32d-ddd4-48d4-9352-f38872e9d7bd.jpg', 'https://f.nooncdn.com/p/pnsku/N70106183V/45/_/1726043631/3064c465-3457-42ef-a234-0b6382365281.jpg', 'https://f.nooncdn.com/p/pnsku/N70106061V/45/_/1726043630/d225a24d-f8df-48e5-b4ff-211fc5450139.jpg', 'https://f.nooncdn.com/p/pnsku/N70106233V/45/_/1725964034/9db15205-9dce-4357-b5cb-95730dcec2bd.jpg']",https://www.noon.com/egypt-en/iphone-16-pro-max-256gb-natural-titanium-5g-with-facetime-international-version/N70106061V/p/?o=e962a3abe56d2ada,No Expandable Memory,12 MP,Type-C,,12 - 15.9 MP,227 g,OLED,,iOS,,A18 Pro,Yes,,,Hexa Core,,Triple,Dual Tone flash,,,,2024,5G,77.6 mm,163 mm,8.3 mm,,48+48+12,Yes,,,,120Hz,iOS 18,,,,,,
Dual SIM,8 GB,4500 mAh,512 GB,Middle East Version,6.7 in,Nano SIM,Glamorous Green,New,LLY-LX2,X8b,"X8b Dual SIM Glamorous Green 8GB RAM, 512GB, 4G LTE With Honor Earbuds X6",EGP 12399.00 Inclusive of VAT,Honor,4.7,[],https://www.noon.com/egypt-en/x8b-dual-sim-glamorous-green-8gb-ram-512gb-4g-lte-with-honor-earbuds-x6/N70068555V/p/?o=e0e4c2a30018f1eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,12 GB,5000 mAh,512 GB,International Version,6.7 in,Nano SIM,Nebula Silver,New,OPPO Oppo Reno 12 Pro 5G,OPPO Oppo Reno 12 Pro 5G,Oppo Reno 12 Pro Dual SIM Nebula Silver 12GB RAM 512GB 5G - International Version,EGP 24777.00 Inclusive of VAT,OPPO,2.7,[],https://www.noon.com/egypt-en/oppo-reno-12-pro-dual-sim-nebula-silver-12gb-ram-512gb-5g-international-version/N70099471V/p/?o=e8e2854d0fbcdbeb,,,,,,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,Android 14,,,,,,
Dual SIM,6 GB,5000 mAh,128 GB,Middle East Version,6.75 in,Nano SIM,Jade Green,New,RMX3939,realme C63,C63 Dual SIM Jade Green 6GB RAM 128GB 4G - Middle East Version,EGP 6200.00 Inclusive of VAT,realme,4.4,"['https://f.nooncdn.com/p/pnsku/N70086807V/45/_/1730212697/65d6670a-16d1-4a87-a817-cd0f8b75b54c.jpg', 'https://f.nooncdn.com/p/pnsku/N70086806V/45/_/1730212536/bdb0a5b1-bd9c-47a3-b62c-a88319f76325.jpg']",https://www.noon.com/egypt-en/c63-dual-sim-jade-green-6gb-ram-128gb-4g-middle-east-version/N70086807V/p/?o=a90f45fc0940670a,,8 MP,Type-C,,8 - 11.9 MP,189 g,IPS LCD,,Android,Realme UI 5.0,Tiger T612,Yes,"Handset,Adapter,USB cable,Quick guide,Warranty card",GSM/LTE/UMTS,Octa Core,,Single,,,Water Proof and Dust Proof,,2024,4G,167.3 mm,7.7 mm,76.7 mm,,50 MP,Yes,Unisoc,"Accelerometer, proximity_sensors, fingerprint_scanner",720x1600,90Hz,Android 14,,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,UAE Version,6.72 in,Nano SIM,Glowing Blue,New,6932169337168.0 / CPH2591,OPPO A18  128GB 4GB Glowing Blue UAE VERSION,A18 Dual Sim Glowing Blue 4GB RAM 128GB 4G - Middle East Version,EGP 6326.95 Inclusive of VAT,OPPO,4.5,"['https://f.nooncdn.com/p/pnsku/N70013215V/45/_/1696943251/b90506d5-037c-4816-be72-425a1108141d.jpg', 'https://f.nooncdn.com/p/pnsku/N70013216V/45/_/1696943335/5ae9742b-8259-42c8-b74a-b9f31159f0b4.jpg']",https://www.noon.com/egypt-en/a18-dual-sim-glowing-blue-4gb-ram-128gb-4g-middle-east-version/N70013216V/p/?o=eafad6392899f6cb,,,Type-C,,,185 g,,,Android,,,Yes,,GSM,,,,,,,,2023,5G,75.98 mm,165.65 mm,7.99 mm,,,Yes,MediaTek Dimensity,,,,Android 12,Type-C,,,,,
Dual SIM,8 GB,5030 mAh,256 GB,International Version,6.79 in,Nano SIM,Midnight Black,New,"2404ARN45A, 24040RN64Y",Redmi 13,Redmi 13 Dual SIM Midnight Black 8GB RAM 256GB 4G - Global Version,EGP 7750.00 Inclusive of VAT,Xiaomi,4.1,"['https://f.nooncdn.com/p/pnsku/N70071638V/45/_/1715505199/ac6c69b8-e641-4c1d-be8e-26d51170548f.jpg', 'https://f.nooncdn.com/p/pnsku/N70071639V/45/_/1715505211/9a3b14d7-8c0d-4e91-ab29-59b6966834cd.jpg', 'https://f.nooncdn.com/p/pnsku/N70071640V/45/_/1715505232/ac27f313-13ca-4703-b7e4-82b8829ccd5b.jpg', 'https://f.nooncdn.com/p/pnsku/N70071641V/45/_/1715505250/ad12c777-f8e5-43ba-aa8f-abdc7d9b6709.jpg']",https://www.noon.com/egypt-en/redmi-13-dual-sim-midnight-black-8gb-ram-256gb-4g-global-version/N70071638V/p/?o=dcef299f9b04f1bd,MicroSD,13 MP,Type-C,2.2 GHz,12 - 15.9 MP,205 g,LCD,FHD+,Android,Xiaomi HyperOS,MediaTek Helio G91-Ultra,Yes,,LTE,Octa Core,Gorilla Glass,Dual,LED,,Dust Resistant,,2024,4G,168.6 mm,8.3 mm,76.28 mm,1 TB,108+2MP,Yes,MediaTek Helio,,,90Hz,Android 14,3.5 mm,,,,,
Dual SIM,4 GB,5000 mAh,128 GB,Middle East Version,6.74 in,Nano SIM,Clover Green,New,"23100RN82L, 23106RN0DA",Redmi 13C,Redmi 13C Dual SIM Clover Green 4GB RAM 128GB 4G,EGP 5777.00 Inclusive of VAT,Xiaomi,3.9,"['https://f.nooncdn.com/p/pnsku/N70040314V/45/_/1705987883/a26eb183-4b99-4f50-9677-fd50205c59c4.jpg', 'https://f.nooncdn.com/p/pnsku/N70055566V/45/_/1710579868/b7d05f96-1b29-4e7b-b3a7-892e9f71d0fb.jpg', 'https://f.nooncdn.com/p/pnsku/N70031437V/45/_/1710416719/71555f65-9cdf-4b6b-8bb7-338aac6882b3.jpg', 'https://f.nooncdn.com/p/pnsku/N70040316V/45/_/1705987877/026b1316-0fca-4b64-b139-7322dd0a2980.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-clover-green-4gb-ram-128gb-4g/N70040314V/p/?o=f98c9f81ca81979f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,12 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,Lurex Black,New,S666LN,RS4,RS4 Dual SIM Lurex Black 12+12GB RAM 256GB 4G - Middle East Version,EGP 8450.00 Inclusive of VAT,ITEL,4.3,"['https://f.nooncdn.com/p/pnsku/N70063667V/45/_/1713703065/75e7abd1-920e-4b9b-837a-40e5bb2eb338.jpg', 'https://f.nooncdn.com/p/pnsku/N70063665V/45/_/1713702962/cf9f1542-015d-4c19-916d-76d9a28bc3a7.jpg']",https://www.noon.com/egypt-en/rs4-dual-sim-lurex-black-12-12gb-ram-256gb-4g-middle-east-version/N70063667V/p/?o=bdbb3a10b7c2f69b,MicroSD,8 MP,Type-C,,8 - 11.9 MP,,,,Android,13,Helio G99 Ultimate,Yes,,,Octa Core,,,LED,,,,2024,4G,0.82 cm,16.4 cm,7.56 cm,1 TB,50MP,Yes,,,720x1612,,Android 13,,,,,,
Dual SIM,12 GB,5000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,Titanium Violet,New,SM-S928BZVCMEA,SM-S928BZVCMEA,Galaxy S24 Ultra Dual SIM Titanium Violet 12GB RAM 256GB 5G - Middle East Version,EGP 47199.00 Inclusive of VAT,Samsung,4.6,"['https://f.nooncdn.com/p/pnsku/N70035265V/45/_/1712239189/479179d5-3f20-4b07-96bf-3ae9bca7b58e.jpg', 'https://f.nooncdn.com/p/pnsku/N70035206V/45/_/1712239207/3e7c97e2-cf7d-48ee-b324-a5d4aa30efe8.jpg', 'https://f.nooncdn.com/p/pnsku/N70035266V/45/_/1712239196/0333058e-2b8c-402e-a69a-428054316099.jpg', 'https://f.nooncdn.com/p/pnsku/N70035267V/45/_/1712239200/90cf518a-3201-4f06-b335-ace256b6169b.jpg']",https://www.noon.com/egypt-en/galaxy-s24-ultra-dual-sim-titanium-violet-12gb-ram-256gb-5g-middle-east-version/N70035266V/p/?o=ee1f6c834b438f1f,,12 MP,Type-C,,12 - 15.9 MP,,,,Android,,,,,GSM/LTE/UMTS,,,Triple,,,,,,5G,,,,,200+10+12,,,,,120Hz,,,,,,,
Dual SIM,8 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,Azure Blue,New,A70,A70,A70 Dual SIM Azure Blue (3+5)GB RAM 128GB 4G - Middle East Version,EGP 3849.00 Inclusive of VAT,ITEL,4.4,[],https://www.noon.com/egypt-en/a70-dual-sim-azure-blue-3-5-gb-ram-128gb-4g-middle-east-version/N70082460V/p/?o=c4bed14aa46ccacc,,,Type-C,,,,,,Android,,,,,LTE,Octa Core,,,,,,,2024,4G,,,,,,Yes,,,,,,,,,,,
Dual SIM,8 GB,5000 mAh,256 GB,Middle East Version,6.7 in,Nano SIM,Mystery Black,New,"CPH2557P, CPH2557",A79,A79 Dual SIM Mystery Black 8GB RAM 256GB 5G LTE- Middle East Version,EGP 9906.70 Inclusive of VAT,OPPO,4.3,"['https://f.nooncdn.com/p/pnsku/N70045654V/45/_/1707818760/1fbb2864-10f9-4eed-842f-babc27bc9195.jpg', 'https://f.nooncdn.com/p/pnsku/N70045655V/45/_/1707818819/be462515-f001-4354-8d2f-3ba7e3b0e019.jpg']",https://www.noon.com/egypt-en/a79-dual-sim-mystery-black-8gb-ram-256gb-5g-lte-middle-east-version/N70045655V/p/?o=ded62d2e6de0737f,MicroSD,2 MP,Type-C,,Upto 4.9 MP,,LCD,FHD+,Android,13.1,6020,Yes,,LTE,Dual Core,Gorilla Glass,Dual,LED,1080p HD recording,Dust Resistant,,2023,5G,,,,1 TB,50+2MP,Yes,MediaTek Dimensity,"Accelerometer, gyroscope, Digital Compass",1080x2400,90Hz,Android 13,,,,,,
Dual SIM,0.01 GB,1500 mAh,0.01 GB,International Version,2.4 in,SIM (Standard),Black,,B26-RUGGEDPHONE,,B26 Dual Sim Fully Waterproof Rugged Phone Black,EGP 4443.95 Inclusive of VAT,CAT,3.8,[],https://www.noon.com/egypt-en/b26-dual-sim-fully-waterproof-rugged-phone-black/N70010479V/p/?o=f786a37cf3ef16dd,,,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Camera,,,,
Dual SIM,8 GB,4676 mAh,256 GB,Middle East Version,6.9 in,Nano + eSIM,Black Titanium,New,"MYWG3AE/A , MYWG3AH/A",iPhone 16 Pro Max,iPhone 16 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version,EGP 77998.95 Inclusive of VAT,Apple,4.9,"['https://f.nooncdn.com/p/pnsku/N70105591V/45/_/1726043597/8211f8d6-03c7-4f76-a29d-c93ef0d026af.jpg', 'https://f.nooncdn.com/p/pnsku/N70105592V/45/_/1726043633/aa2f8393-ed30-467b-b456-c8b10fad6e8f.jpg', 'https://f.nooncdn.com/p/pnsku/N70105590V/45/_/1726043608/b96466e2-9d2c-4cf5-b6a8-e589883e94c3.jpg', 'https://f.nooncdn.com/p/pnsku/N70105588V/45/_/1725963921/25404746-163f-495d-b705-984c3a2890f8.jpg']",https://www.noon.com/egypt-en/iphone-16-pro-max-256gb-black-titanium-5g-with-facetime-middle-east-version/N70105591V/p/?o=ac272eed88a0393a,No Expandable Memory,12 MP,Type-C,,12 - 15.9 MP,227 g,OLED,,iOS,,A18 Pro,Yes,,,Hexa Core,,Triple,Dual Tone flash,,,,2024,5G,77.6 mm,163 mm,8.3 mm,,48+48+12,Yes,,,,120Hz,iOS 18,,,,,,
Dual SIM,6 GB,5000 mAh,128 GB,International Version,6.67 in,Nano SIM,Onyx Gray,,,,Redmi Note 12 Dual SIM Onyx Gray 6GB RAM 128GB 4G - Global Version,EGP 7549.00 Inclusive of VAT,Xiaomi,4.3,"['https://f.nooncdn.com/p/v1687265344/N53392518A_1.jpg', 'https://f.nooncdn.com/p/v1687265344/N53392520A_1.jpg', 'https://f.nooncdn.com/p/v1687265344/N53392519A_1.jpg']",https://www.noon.com/egypt-en/redmi-note-12-dual-sim-onyx-gray-6gb-ram-128gb-4g-global-version/N53392519A/p/?o=f99c054d571b472e,MicroSD,13 MP,Type-C,2.4 GHz,12 - 15.9 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,3 GB,5000 mAh,64 GB,International Version,6.74 in,Nano SIM,Midnight Black,New,RMX3834,realme Note 50,Note 50 Dual SIM Midnight Black 3GB RAM 64GB 4G - International Version,EGP 4661.95 Inclusive of VAT,realme,4.2,"['https://f.nooncdn.com/p/pnsku/N70060370V/45/_/1712129484/12e8ad61-a475-401d-af8f-e1d14d24328d.jpg', 'https://f.nooncdn.com/p/pnsku/N70060369V/45/_/1712129479/a62eda0b-4356-44ff-9a72-d919037870af.jpg']",https://www.noon.com/egypt-en/note-50-dual-sim-midnight-black-3gb-ram-64gb-4g-international-version/N70060370V/p/?o=b112626fc72029fb,,5 MP,Type-C,,5 - 7.9 MP,186 g,IPS LCD,,Android,Realme UI T,T612,Yes,"Handset,Adapter,USB cable,Quick guide,Warranty card",GSM/LTE/UMTS,Octa Core,,Single,,,,,2024,4G,167.2 mm,8 mm,76.7 mm,,13,Yes,Unisoc,"Accelerometer, Proximity Sensors, Fingerprint Scanner",,,Android 13,,,,,,
Dual SIM,12 GB,5000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,Green,New,SM-S918BZGCMEA,Galaxy S23 Ultra,Galaxy S23 Ultra 5G Dual SIM Green 12GB RAM 256GB  - Middle East Version,EGP 38888.00 Inclusive of VAT,Samsung,4.5,"['https://f.nooncdn.com/p/pnsku/N53374464A/45/_/1712239192/bcacc0c1-f7a4-4d37-91b3-731a6b0f67a5.jpg', 'https://f.nooncdn.com/p/v1683700344/N53404717A_1.jpg', 'https://f.nooncdn.com/p/pnsku/N53374466A/45/_/1712239207/dbc7273f-0184-4265-a5d1-e50d9afbe74f.jpg', 'https://f.nooncdn.com/p/pnsku/N53374477A/45/_/1712239197/5ac4106a-e037-497d-ab3a-78024f7d73e3.jpg', 'https://f.nooncdn.com/p/v1683700356/N53404713A_1.jpg', 'https://f.nooncdn.com/p/pnsku/N53374783A/45/_/1717586721/941992f0-dae7-4a62-830b-92a7fe485329.jpg', 'https://f.nooncdn.com/p/v1683700343/N53404714A_1.jpg', 'https://f.nooncdn.com/p/v1683700344/N53404716A_1.jpg']",https://www.noon.com/egypt-en/galaxy-s23-ultra-5g-dual-sim-green-12gb-ram-256gb-middle-east-version/N53374466A/p/?o=f78574186c3800cc,No Expandable Memory,12 MP,Type-C,,12 - 15.9 MP,,Dynamic AMOLED,,Android,13,,Yes,,,Octa Core,,Quad,LED,,,,2023,5G,,,,,200+10+10+12 MP,,,,,120Hz,,,,,,,
Dual SIM,4 GB,5050 mAh,64 GB,International Version,6.74 in,Nano SIM,Mint,,TA-1499,C31,C31 Dual SIM Mint 4GB RAM 64GB 4G,EGP 3899.00 Inclusive of VAT,NOKIA,4.6,[],https://www.noon.com/egypt-en/c31-dual-sim-mint-4gb-ram-64gb-4g/N53436434A/p/?o=e94fc8c7e0ed9cda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual SIM,6 GB,5000 mAh,128 GB,Middle East Version,6.5 in,Nano SIM,Blue Black,New,SM-A256EZKDMEA,Galaxy A25,Galaxy A25 Dual SIM Blue Black 6GB RAM 128GB 5G - Middle East Version,EGP 9499.00 Inclusive of VAT,Samsung,4.1,[],https://www.noon.com/egypt-en/galaxy-a25-dual-sim-blue-black-6gb-ram-128gb-5g-middle-east-version/N70029341V/p/?o=b982a99d949548ef,,13 MP,,,12 - 15.9 MP,,,,,,,,,,,,,,,,,,,,,,,50+8+2 MP,,,,,,,,,,,,
